Iteration 0/50000  Rate: -0.7469 bit   loss = 0.7469
Iteration 27700/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 27800/50000  Rate: 0.9043 bit   loss = -0.9043
Iteration 27900/50000  Rate: 0.8633 bit   loss = -0.8633
Iteration 28000/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 28100/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 28200/50000  Rate: 0.3510 bit   loss = -0.3510
Iteration 28300/50000  Rate: 0.9967 bit   loss = -0.9967
Iteration 28400/50000  Rate: 0.9984 bit   loss = -0.9984
Iteration 28500/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 28600/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 28700/50000  Rate: 0.9883 bit   loss = -0.9883
Iteration 28800/50000  Rate: 0.9998 bit   loss = -0.9998
Iteration 28900/50000  Rate: 0.5072 bit   loss = -0.5072
Iteration 29000/50000  Rate: 0.9946 bit   loss = -0.9946
Iteration 29100/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 29200/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 29300/50000  Rate: 0.9962 bit   loss = -0.9962
Iteration 29400/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 29500/50000  Rate: 0.9982 bit   loss = -0.9982
Iteration 29600/50000  Rate: 0.9995 bit   loss = -0.9995
Iteration 29700/50000  Rate: 0.9742 bit   loss = -0.9742
Iteration 29800/50000  Rate: 0.9991 bit   loss = -0.9991
Iteration 29900/50000  Rate: 0.6761 bit   loss = -0.6761
Iteration 30000/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 30100/50000  Rate: 0.9637 bit   loss = -0.9637
Iteration 30200/50000  Rate: 0.9995 bit   loss = -0.9995
Iteration 30300/50000  Rate: 0.9487 bit   loss = -0.9487
Iteration 30400/50000  Rate: 0.9997 bit   loss = -0.9997
Iteration 30500/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 30600/50000  Rate: 0.5816 bit   loss = -0.5816
Iteration 30700/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 30800/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 30900/50000  Rate: 0.9581 bit   loss = -0.9581
Iteration 31000/50000  Rate: 0.9796 bit   loss = -0.9796
Iteration 31100/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 31200/50000  Rate: 0.9984 bit   loss = -0.9984
Iteration 31300/50000  Rate: 0.9982 bit   loss = -0.9982
Iteration 31400/50000  Rate: 0.9980 bit   loss = -0.9980
Iteration 31500/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 31600/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 31700/50000  Rate: 0.9973 bit   loss = -0.9973
Iteration 31800/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 31900/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 32000/50000  Rate: 0.9699 bit   loss = -0.9699
Iteration 32100/50000  Rate: 0.3968 bit   loss = -0.3968
Iteration 32200/50000  Rate: 0.6805 bit   loss = -0.6805
Iteration 32300/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 32400/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 32500/50000  Rate: 0.8573 bit   loss = -0.8573
Iteration 32600/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 32700/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 32800/50000  Rate: 0.3420 bit   loss = -0.3420
Iteration 32900/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 33000/50000  Rate: 0.7896 bit   loss = -0.7896
Iteration 33100/50000  Rate: 0.9460 bit   loss = -0.9460
Iteration 33200/50000  Rate: 0.9995 bit   loss = -0.9995
Iteration 33300/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 33400/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 33500/50000  Rate: 0.9998 bit   loss = -0.9998
Iteration 33600/50000  Rate: 0.9889 bit   loss = -0.9889
Iteration 33700/50000  Rate: 0.3590 bit   loss = -0.3590
Iteration 33800/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 33900/50000  Rate: 0.9979 bit   loss = -0.9979
Iteration 34000/50000  Rate: 0.4669 bit   loss = -0.4669
Iteration 34100/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 34200/50000  Rate: 0.9974 bit   loss = -0.9974
Iteration 34300/50000  Rate: 0.8696 bit   loss = -0.8696
Iteration 34400/50000  Rate: 0.9956 bit   loss = -0.9956
Iteration 34500/50000  Rate: 0.9976 bit   loss = -0.9976
Iteration 34600/50000  Rate: 0.5293 bit   loss = -0.5293
Iteration 34700/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 34800/50000  Rate: 0.9873 bit   loss = -0.9873
Iteration 34900/50000  Rate: 0.7178 bit   loss = -0.7178
Iteration 35000/50000  Rate: 0.5676 bit   loss = -0.5676
Iteration 35100/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 35200/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 35300/50000  Rate: 0.5952 bit   loss = -0.5952
Iteration 35400/50000  Rate: 0.9999 bit   loss = -0.9999
