Iteration 47300/50000  Rate: 0.6447 bit
Iteration 47400/50000  Rate: 0.3884 bit
Iteration 47500/50000  Rate: 0.2705 bit
Iteration 47600/50000  Rate: 0.6546 bit
Iteration 47700/50000  Rate: 0.4922 bit
Iteration 47800/50000  Rate: 0.8122 bit
Iteration 47900/50000  Rate: 0.8136 bit
Iteration 48000/50000  Rate: 0.7715 bit
Iteration 48100/50000  Rate: 0.5514 bit
Iteration 48200/50000  Rate: 0.8597 bit
Iteration 48300/50000  Rate: 0.4714 bit
Iteration 48400/50000  Rate: 0.6186 bit
Iteration 48500/50000  Rate: 0.8397 bit
Iteration 48600/50000  Rate: 0.2130 bit
Iteration 48700/50000  Rate: 0.8236 bit
Iteration 48800/50000  Rate: 0.6636 bit
Iteration 48900/50000  Rate: 0.5162 bit
Iteration 49000/50000  Rate: 0.3101 bit
Iteration 49100/50000  Rate: 0.7229 bit
Iteration 49200/50000  Rate: 0.4327 bit
Iteration 49300/50000  Rate: 0.8653 bit
Iteration 49400/50000  Rate: 0.5370 bit
Iteration 49500/50000  Rate: 0.8278 bit
Iteration 49600/50000  Rate: 0.7692 bit
Iteration 49700/50000  Rate: 0.3013 bit
Iteration 49800/50000  Rate: 0.2794 bit
Iteration 49900/50000  Rate: 0.8661 bit
